epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.676,1.92648,3.2216,2.10169,0.00369,0.71429,0.08121,0.02612,1.35995,67.9775,1.59773,0.00056,0.00056,0.00056
2,319.718,2.00292,2.95593,2.09588,0.10425,0.03448,0.0259,0.00806,1.39044,59.4374,1.72707,0.00112871,0.00112871,0.00112871
3,488.225,2.06189,2.90758,2.15272,0.03569,0.18227,0.01857,0.00539,1.59088,522.659,3.61672,0.00168594,0.00168594,0.00168594
4,664.358,2.14377,2.9332,2.24475,0.14062,0.10238,0.03897,0.01416,1.67569,675.259,2.71753,0.0019406,0.0019406,0.0019406
5,837.763,2.07857,2.67721,2.22102,0.12409,0.21675,0.0561,0.01499,1.57059,67.7212,1.98412,0.0019208,0.0019208,0.0019208
6,1016.7,2.08577,2.71621,2.21291,0.10607,0.15764,0.04841,0.0146,1.53466,288.133,2.34585,0.001901,0.001901,0.001901
7,1190.83,2.07131,2.64854,2.25924,0.17993,0.18719,0.09865,0.03203,1.53109,21.1168,2.10401,0.0018812,0.0018812,0.0018812
8,1365.12,2.00784,2.51868,2.14751,0.17906,0.25616,0.10975,0.03574,1.38824,28.4433,1.6138,0.0018614,0.0018614,0.0018614
9,1540.19,2.13651,2.60579,2.23926,0.18705,0.18719,0.09059,0.02476,1.60149,28.6428,1.75955,0.0018416,0.0018416,0.0018416
10,1714.91,2.03599,2.49624,2.18472,0.25481,0.29064,0.1691,0.05174,1.34671,28.8035,1.59404,0.0018218,0.0018218,0.0018218
11,1889.69,2.02783,2.43249,2.13035,0.24827,0.2266,0.15009,0.04599,1.5534,25.1929,1.82882,0.001802,0.001802,0.001802
12,2065.77,1.99133,2.41049,2.13293,0.2619,0.25123,0.16326,0.04494,1.42098,31.2794,1.73473,0.0017822,0.0017822,0.0017822
13,2241.03,2.04846,2.43357,2.18058,0.29161,0.23645,0.17269,0.05892,1.25618,9.76905,1.50905,0.0017624,0.0017624,0.0017624
14,2419.63,1.95872,2.40527,2.08334,0.28836,0.26601,0.20105,0.06438,1.40011,9.87774,1.6459,0.0017426,0.0017426,0.0017426
15,2600.32,1.95932,2.42677,2.08449,0.30949,0.23645,0.17316,0.05076,1.25677,6.72295,1.50415,0.0017228,0.0017228,0.0017228
16,2782.17,2.00726,2.35483,2.08495,0.40814,0.30049,0.26675,0.09363,1.22077,11.6153,1.49702,0.001703,0.001703,0.001703
17,2966.5,1.95626,2.37756,2.09725,0.35042,0.28079,0.21522,0.08114,1.26699,8.6186,1.60425,0.0016832,0.0016832,0.0016832
18,3147.54,1.9284,2.3523,2.08324,0.29975,0.23645,0.20051,0.07147,1.33943,21.4517,1.69465,0.0016634,0.0016634,0.0016634
19,3326.76,1.94163,2.24415,2.0421,0.21309,0.19704,0.1213,0.03425,1.39278,17.2536,1.68142,0.0016436,0.0016436,0.0016436
20,3504.96,1.89844,2.21381,2.03594,0.42434,0.25419,0.22868,0.06658,1.45719,5.90326,1.65094,0.0016238,0.0016238,0.0016238
21,3681.99,1.85519,2.17305,2.00674,0.38978,0.26601,0.25136,0.08631,1.31086,6.85846,1.62091,0.001604,0.001604,0.001604
